IOT1 , IEEE_Access189
ISLPED1089 , DAC142
ISLPED1089 , ACM_TODAES66
ISLPED1090 , ISLPED804
ISLPED1090 , ISLPED958
ISLPED1093 , ACM_TECS16
ISLPED1095 , DATE354
ISLPED1096 , ISLPED723
ISLPED1096 , IEEE_TVLSI54
ISLPED1098 , DATE451
ISLPED1101 , IEEE_Journal_Solid_State347
ISLPED1102 , DATE111
ISLPED1102 , IEEE_TCOMP59
ISLPED1105 , ISLPED1
ISLPED1105 , DAC217
ISLPED1105 , IEEE_TVLSI51
ISLPED1105 , ACM_TECS29
ISLPED1107 , ISLPED449
ISLPED1108 , ISLPED572
ISLPED1108 , DAC160
ISLPED1113 , ACM_TODAES12
ISLPED1114 , IEEE_TCADICS68
ISLPED1115 , IEEE_Journal_Solid_State14
ISLPED1115 , IEEE_Journal_Solid_State302
ISLPED1118 , ISLPED471
ISLPED1118 , ISLPED830
ISLPED1118 , ISLPED1012
ISLPED1118 , ISLPED1042
ISLPED1118 , IEEE_TVLSI36
ISLPED1118 , IEEE_TCADICS67
ISLPED1120 , ISLPED784
ISLPED1121 , ISLPED585
ISLPED1121 , ISLPED797
ISLPED1124 , ISLPED1018
ISLPED1124 , ACM_TECS4
ISLPED1124 , ACM_TECS14
ISLPED1124 , ACM_TODAES12
ISLPED1125 , ACM_TODAES59
ISLPED1127 , ISLPED615
ISLPED1129 , ISQED1
ISLPED1131 , ISLPED349
ISLPED1134 , ISLPED374
ISLPED1134 , ISLPED737
ISLPED1136 , ISLPED904
ISLPED1139 , DATE130
ISLPED1140 , IEEE_TCOMP34
ISLPED1140 , IEEE_TPDS3
ISLPED1141 , ISLPED922
ISLPED1141 , ISLPED1063
ISLPED1141 , IEEE_TVLSI37
ISLPED1141 , IEEE_TPDS3
DAC1 , ISLPED556
DAC1 , ISLPED573
DAC1 , ISLPED603
DAC1 , DAC20
DAC1 , DAC61
DAC1 , DAC257
DAC1 , DAC296
DAC1 , DATE59
DAC1 , ACM_TECS14
DAC1 , ACM_TECS16
DAC1 , ACM_TECS21
DAC1 , ACM_TECS44
DAC1 , ACM_TODAES34
DAC1 , ACM_TODAES59
DAC1 , ISQED2
DAC1 , ISCA47
DAC2 , DAC64
DAC2 , DATE40
DAC2 , DATE128
DAC2 , IEEE_TCADICS97
DAC2 , ASPDAC4
DAC2 , ASPDAC43
DAC3 , DATE29
DAC3 , DATE80
DAC3 , DATE111
DAC3 , DATE204
DAC3 , DATE325
DAC3 , JOLPE22
DAC3 , ICCAD1
DAC4 , CVPR69
DAC4 , AAAI5
DAC5 , DATE607
DAC6 , ISLPED792
DAC6 , ISLPED807
DAC6 , ISLPED809
DAC6 , ISLPED810
DAC6 , ISLPED821
DAC6 , ISLPED1034
DAC6 , DAC14
DAC6 , DAC44
DAC6 , IEEE_TCADICS33
DAC6 , IEEE_TCOMP59
DAC7 , ISLPED437
DAC7 , ISLPED489
DAC7 , ISLPED608
DAC7 , ISLPED703
DAC7 , ISLPED736
DAC7 , ISLPED747
DAC7 , DAC65
DAC8 , IEEE_TCADICS16
DAC8 , IEEE_TPDS9
DAC9 , DAC308
DAC9 , DATE236
DAC9 , DATE332
DAC9 , DATE535
DAC9 , ACM_TODAES64
DAC10 , DAC19
DAC10 , DATE489
DAC10 , ACM_TODAES24
DAC11 , IOT15
DAC11 , DAC3
DAC11 , DAC22
DAC11 , DAC74
DAC11 , DAC92
DAC11 , DATE29
DAC11 , ACM_TECS5
DAC11 , ACM_TECS42
DAC11 , ICCAD1
DAC12 , ISLPED59
DAC12 , ISLPED120
DAC12 , ISLPED183
DAC12 , ISLPED242
DAC12 , DAC333
DAC12 , DATE460
DAC12 , DATE603
DAC12 , IEEE_TCADICS66
DAC12 , ACM_TECS31
DAC14 , ISLPED556
DAC14 , ISLPED912
DAC14 , ISLPED1093
DAC14 , DAC163
DAC14 , DATE321
DAC14 , DATE634
DAC16 , ISLPED136
DAC17 , ISLPED926
DAC17 , ISLPED964
DAC17 , ISLPED970
DAC17 , DAC54
DAC17 , DAC228
DAC17 , DAC325
DAC17 , DATE526
DAC17 , DATE654
DAC17 , IEEE_TVLSI45
DAC17 , IEEE_TVLSI74
DAC17 , ASPDAC15
DAC17 , ASPDAC58
DAC19 , ISLPED203
DAC19 , DATE437
DAC19 , GLSVLSI17
DAC20 , ISLPED381
DAC20 , IEEE_TCADICS49
DAC20 , ACM_TECS4
DAC20 , ACM_TECS21
DAC21 , DAC75
DAC21 , IEEE_TCADICS38
DAC21 , IEEE_TCADICS73
DAC22 , JOLPE17
DAC23 , IEEE_TCADICS14
DAC23 , JOLPE14
DAC24 , ISLPED687
DAC24 , IEEE_TPDS3
DAC25 , ACM_TODAES11
DAC25 , HPCA42
DAC25 , ACM_TACO6
DAC26 , DAC67
DAC26 , DATE549
DAC26 , ACM_TECS9
DAC26 , ACM_TECS28
DAC26 , ASPDAC57
DAC27 , ISLPED544
DAC27 , DAC319
DAC27 , ACM_TODAES25
DAC27 , ACM_TODAES55
DAC28 , ISLPED402
DAC28 , ISLPED703
DAC28 , ISLPED747
DAC28 , DATE16
DAC28 , DATE344
DAC29 , ISLPED521
DAC29 , ISLPED627
DAC29 , ISLPED922
DAC29 , ISLPED951
DAC29 , GLSVLSI100
DAC30 , DAC89
DAC30 , IEEE_TCADICS14
DAC31 , ISLPED23
DAC31 , ISLPED50
DAC31 , DATE87
DAC32 , DAC75
DAC32 , DATE48
DAC32 , DATE447
DAC32 , IEEE_TCADICS38
DAC32 , IEEE_TCADICS73
DAC33 , ISLPED507
DAC33 , ISLPED831
DAC33 , ISLPED950
DAC33 , DAC196
DAC33 , IEEE_TVLSI23
DAC33 , IEEE_TVLSI83
DAC34 , ISLPED120
DAC34 , DAC333
DAC34 , DATE603
DAC35 , DAC166
DAC35 , DAC297
DAC36 , DAC68
DAC36 , JOLPE22
DAC36 , ICCAD34
DAC37 , DAC67
DAC37 , HPCA66
DAC40 , DAC92
DAC40 , DAC98
DAC41 , ISLPED523
DAC41 , DAC229
DAC41 , DATE99
DAC41 , IEEE_TVLSI39
DAC41 , ISCA31
DAC42 , ISLPED775
DAC42 , IEEE_TVLSI106
DAC42 , IEEE_TVLSI123
DAC43 , GLSVLSI68
DAC44 , ISLPED1017
DAC44 , DAC61
DAC44 , DAC116
DAC44 , IEEE_TCADICS18
DAC44 , ACM_TECS4
DAC44 , ACM_TECS21
DAC44 , JOLPE40
DAC45 , ISLPED360
DAC45 , ASPDAC58
DAC45 , ICCAD12
DAC45 , ICCAD16
DAC46 , ISLPED564
DAC46 , DAC11
DAC46 , DAC74
DAC46 , DAC363
DAC48 , ISCAS23
DAC49 , IEEE_TVLSI132
DAC53 , ISLPED345
DAC53 , DAC112
DAC53 , DAC338
DAC53 , DATE242
DAC53 , ICCAD38
DAC53 , ICCAD40
DAC54 , ISLPED541
DAC54 , DAC163
DAC54 , IEEE_TCADICS91
DAC54 , ACM_TODAES19
DAC55 , ISLPED1063
DAC57 , ACM_TECS7
DAC57 , IEEE_TCOMP1
DAC58 , DATE233
DAC58 , ACM_TECS22
DAC58 , GLSVLSI79
DAC59 , DAC214
DAC60 , GLSVLSI63
DAC61 , ISLPED603
DAC61 , ACM_TECS4
DAC61 , ACM_TECS16
DAC61 , ACM_TODAES59
DAC62 , IEEE_TVLSI108
DAC62 , IEEE_TCADICS110
DAC64 , DATE128
DAC64 , IEEE_TCADICS97
DAC64 , ASPDAC4
DAC65 , DATE543
DAC66 , ISLPED412
DAC66 , ISLPED745
DAC66 , IEEE_Journal_Solid_State401
DAC66 , IEEE_TED9
DAC67 , DAC67
DAC67 , DAC378
DAC67 , DATE605
DAC67 , ACM_TECS28
DAC69 , DAC79
DAC69 , DAC94
DAC70 , ISLPED497
DAC70 , DATE354
DAC70 , IEEE_TCADICS91
DAC74 , ISLPED286
DAC74 , DAC22
DAC74 , DATE10
DAC74 , ACM_TECS41
DAC75 , DAC114
DAC75 , DATE248
DAC75 , DATE252
DAC75 , DATE447
DAC75 , ACM_TODAES58
DAC75 , JOLPE33
DAC77 , ISQED6
DAC78 , ISLPED13
DAC78 , ISLPED75
DAC79 , IEEE_TCADICS67
DAC80 , ISLPED613
DAC80 , IEEE_TVLSI50
DAC85 , DATE61
DAC88 , DATE166
DAC88 , DATE378
DAC88 , DATE427
DAC88 , ICCAD36
DAC94 , ISLPED718
DAC95 , ACM_TODAES64
DAC97 , DAC166
DAC102 , ISLPED94
DAC102 , DATE633
DAC104 , DAC109
DAC105 , ISLPED320
DAC109 , ISLPED245
DAC110 , ISLPED78
DAC111 , ISLPED387
DAC111 , ISLPED428
DAC111 , DATE72
DAC112 , ISLPED311
DAC112 , ISLPED345
DAC112 , DATE242
DAC112 , ICCAD38
DAC113 , ISLPED101
DAC113 , DAC25
DAC113 , ACM_TODAES38
DAC119 , DAC119
DAC119 , IEEE_TVLSI27
DAC119 , IEEE_TCADICS50
DAC120 , DAC142
DAC120 , ACM_TODAES6
DAC121 , ISLPED745
DAC121 , IEEE_Journal_Solid_State169
DAC122 , DAC17
DAC122 , IEEE_TVLSI55
DAC124 , DAC233
DAC126 , DAC133
DAC128 , IEEE_Journal_Solid_State169
DAC128 , IEEE_TVLSI39
DAC129 , ACM_TODAES67
DAC138 , ISLPED580
DAC139 , ISLPED610
DAC140 , DAC136
DAC141 , DATE292
DAC141 , JOLPE14
DAC142 , ISLPED887
DAC142 , ISLPED1093
DAC142 , DAC10
DAC145 , ISLPED39
DAC147 , DAC94
DAC148 , ISLPED679
DAC148 , DATE664
DAC151 , ISLPED1062
DAC152 , ISLPED155
DAC152 , DATE149
DAC153 , DAC197
DAC153 , ACM_TODAES40
DAC154 , DAC304
DAC155 , DATE519
DAC157 , ACM_TODAES25
DAC164 , ISLPED58
DAC168 , DATE632
DAC168 , ACM_TECS5
DAC168 , ICCAD24
DAC172 , ISLPED272
DAC174 , IEEE_TCOMP58
DAC176 , DAC297
DAC177 , ISLPED81
DAC179 , DAC253
DAC182 , ISLPED1063
DAC188 , DAC112
DAC188 , ICCAD40
DAC196 , ISLPED490
DAC196 , DAC30
DAC201 , IEEE_TCADICS2
DAC202 , ISLPED539
DAC208 , ISLPED161
DAC210 , DAC389
DAC212 , ACM_TODAES64
DAC213 , DAC388
DAC216 , DAC216
DAC217 , ISLPED706
DAC217 , ACM_TECS16
DAC229 , ISLPED269
DAC231 , ISLPED528
DAC231 , IEEE_TCADICS111
DAC232 , DAC309
DAC232 , JOLPE14
DAC255 , ACM_TODAES64
DAC283 , GLSVLSI111
DAC284 , ISLPED110
DAC293 , ISLPED145
DAC294 , ISLPED33
DAC296 , ACM_TECS4
DAC302 , ISLPED187
DAC313 , DAC334
DATE2 , IEEE_TWComm38
DATE2 , IEEE_WCNC2
DATE2 , IEEE_WCNC8
DATE3 , ISLPED62
DATE3 , ACM_TODAES27
DATE4 , IEEE_TVLSI100
DATE5 , IEEE_Access15
DATE6 , DAC30
DATE6 , DAC119
DATE6 , IEEE_TVLSI27
DATE6 , IEEE_TVLSI104
DATE6 , IEEE_TCADICS12
DATE6 , IEEE_TCADICS50
DATE7 , ISLPED56
DATE7 , DAC92
DATE7 , DATE272
DATE8 , DATE549
DATE8 , ACM_TECS9
DATE8 , ACM_TECS23
DATE8 , ACM_TECS28
DATE8 , ACM_TODAES2
DATE8 , ASPDAC57
DATE8 , GLSVLSI14
DATE9 , ISLPED99
DATE9 , ISLPED224
DATE9 , ISLPED225
DATE9 , DAC40
DATE9 , DAC98
DATE9 , DATE272
DATE9 , ASPDAC42
DATE9 , GLSVLSI64
DATE10 , ISLPED286
DATE10 , DAC22
DATE10 , DATE80
DATE10 , DATE111
DATE11 , IEEE_TCADICS14
DATE13 , DATE339
DATE14 , DAC241
DATE14 , DATE37
DATE15 , DAC39
DATE15 , IEEE_TVLSI94
DATE16 , ACM_TODAES49
DATE16 , HPCA10
DATE16 , ACM_TACO4
DATE17 , ISLPED301
DATE18 , GLSVLSI15
DATE19 , DATE202
DATE19 , DATE212
DATE23 , IEEE_TVLSI8
DATE23 , ISCA52
DATE23 , GLSVLSI25
DATE24 , DAC280
DATE24 , DAC368
DATE24 , ISCA52
DATE25 , ACM_TECS5
DATE26 , MICROELECTRONICS5
DATE27 , ISLPED549
DATE27 , ISLPED589
DATE27 , DAC34
DATE27 , IEEE_TCOMP55
DATE28 , DATE108
DATE30 , DATE10
DATE30 , DATE80
DATE30 , DATE436
DATE30 , ACM_TECS41
DATE31 , DATE212
DATE32 , ISLPED56
DATE32 , ISLPED286
DATE32 , IEEE_TCAS84
DATE32 , GLSVLSI16
DATE33 , ISLPED99
DATE33 , ISLPED224
DATE33 , DATE272
DATE35 , ISLPED179
DATE35 , DAC388
DATE35 , DATE29
DATE35 , ACM_TECS42
DATE35 , JOLPE2
DATE35 , HPCA37
DATE40 , IEEE_TCADICS97
DATE40 , JOLPE22
DATE41 , DATE214
DATE42 , ISLPED504
DATE42 , ACM_TECS21
DATE43 , DATE312
DATE43 , ACM_TECS9
DATE44 , ISLPED544
DATE44 , DAC24
DATE47 , Mobicom7
DATE47 , ACM_TACO1
DATE48 , DAC114
DATE48 , ACM_TODAES58
DATE49 , IOT36
DATE49 , ISLPED86
DATE49 , SENSORS12
DATE49 , SENSORS40
DATE51 , ISLPED61
DATE52 , DATE49
DATE52 , DATE301
DATE54 , DATE374
DATE54 , ASPDAC22
DATE54 , HPCA10
DATE55 , DAC99
DATE56 , GLSVLSI144
DATE58 , DATE346
DATE60 , JOLPE17
DATE61 , IOT15
DATE62 , DAC241
DATE62 , IEEE_TVLSI91
DATE63 , DATE5
DATE63 , DATE49
DATE65 , JOLPE34
DATE67 , ISLPED36
DATE67 , DAC361
DATE67 , DATE202
DATE67 , ISCA40
DATE68 , DATE387
DATE69 , IEEE_TVLSI79
DATE71 , GLSVLSI149
DATE74 , DAC338
DATE74 , GLSVLSI39
DATE77 , ISLPED161
DATE77 , IEEE_TCADICS76
DATE78 , DATE440
DATE79 , ISLPED613
DATE79 , IEEE_TVLSI50
DATE82 , ISLPED455
DATE82 , DATE631
DATE84 , DATE514
DATE87 , ACM_TECS5
DATE87 , ACM_TECS42
DATE89 , ISLPED123
DATE89 , DATE617
DATE89 , ACM_TACO4
DATE91 , ISLPED400
DATE91 , DATE597
DATE93 , DAC338
DATE93 , DATE480
DATE95 , DATE568
DATE101 , DAC166
DATE101 , DATE56
DATE101 , ASPDAC3
DATE105 , IOT15
DATE108 , DATE208
DATE110 , ISLPED65
DATE113 , DATE409
DATE114 , DATE341
DATE114 , DATE425
DATE117 , ISLPED250
DATE117 , ASPDAC34
DATE122 , CVPR41
DATE124 , DATE109
DATE127 , ISLPED162
DATE128 , ASPDAC4
DATE131 , ACM_TODAES32
DATE135 , DAC108
DATE140 , ISLPED1021
DATE143 , ISLPED62
DATE147 , DATE322
DATE148 , DATE417
DATE149 , DATE329
DATE150 , ISLPED504
DATE150 , ISLPED535
DATE150 , ISLPED596
DATE151 , ISLPED449
DATE151 , DATE168
DATE158 , DAC388
DATE158 , GLSVLSI46
DATE166 , DATE378
DATE178 , ISQED28
DATE179 , DAC247
DATE179 , DATE425
DATE181 , ACM_TODAES64
DATE184 , DAC258
DATE191 , DATE142
DATE197 , ISLPED364
DATE198 , GLSVLSI27
DATE209 , IEEE_TCADICS110
DATE220 , DAC263
DATE220 , DATE431
DATE220 , IEEE_TCADICS98
DATE226 , ACM_TECS21
DATE227 , IEEE_TCADICS16
DATE231 , DATE300
DATE236 , ISLPED51
DATE237 , ISLPED245
DATE241 , ACM_TECS37
DATE242 , ISLPED345
DATE250 , DAC26
DATE250 , ACM_TECS9
DATE250 , ACM_TECS35
DATE251 , DATE93
DATE260 , DATE329
DATE264 , DATE359
DATE267 , ACM_TODAES32
DATE273 , HPCA65
DATE277 , DAC165
DATE277 , DATE19
DATE287 , Nano_Comm11
DATE297 , IEEE_Journal_Solid_State338
DATE305 , DATE61
DATE309 , Nano_Comm13
DATE316 , DATE74
DATE316 , GLSVLSI39
DATE321 , DATE206
DATE329 , DAC298
DATE334 , ISLPED51
DATE342 , DATE425
DATE348 , HPCA37
DATE359 , ISLPED905
DATE361 , ISLPED127
DATE375 , Mobisys3
DATE378 , DATE427
DATE380 , DAC311
DATE383 , DATE614
DATE406 , ISLPED127
DATE429 , DATE594
DATE437 , ISLPED215
DATE437 , DATE461
DATE442 , DAC112
DATE442 , ICCAD40
DATE445 , DATE614
DATE466 , IEEE_TCADICS66
DATE509 , IEEE_TVLSI128
DATE557 , DATE545
ISCAS8 , ISLPED410
ISCAS8 , SENSORS76
ISCAS9 , DATE620
ISCAS14 , IEEE_Journal_Solid_State301
ISCAS15 , ASPLOS3
ISCAS16 , IEEE_Journal_Solid_State3
ISCAS16 , IEEE_TCAS117
ISCAS18 , IEEE_TCAS34
ISCAS20 , IEEE_TVLSI28
ISCAS20 , IEEE_TCAS110
ISCAS24 , SENSORS80
ISCAS29 , IEEE_TVLSI19
ISCAS33 , ISLPED283
ISCAS34 , ISQED9
ISCAS42 , IEEE_TVLSI73
ISCAS42 , IEEE_TCAS85
ISCAS44 , IEEE_TCAS132
ISCAS44 , IEEE_TCOMP27
ISCAS46 , IEEE_TCAS106
ISCAS47 , IEEE_TCAS4
ISCAS49 , ISLPED1
ISCAS50 , NOCs2
ISCAS56 , IEEE_Journal_Solid_State517
ISCAS59 , ISCAS104
ISCAS62 , IEEE_TCOMP11
ISCAS64 , ISLPED367
ISCAS64 , ISCAS27
ISCAS68 , GLSVLSI74
ISCAS70 , IEEE_Journal_Solid_State179
ISCAS71 , ISCAS115
ISCAS79 , DATE147
ISCAS83 , IEEE_TCAS70
ISCAS84 , IEEE_TCAS139
ISCAS85 , IEEE_Journal_Solid_State52
ISCAS86 , IEEE_Journal_Solid_State471
ISCAS88 , DATE212
ISCAS91 , ISLPED391
ISCAS91 , ASPDAC17
ISCAS93 , IEEE_Journal_Solid_State433
ISCAS93 , IEEE_TCAS119
ISCAS95 , IEEE_TCAS52
ISCAS96 , IEEE_TIE137
ISCAS99 , IEEE_TCAS115
ISCAS101 , IEEE_TCOMP40
ISCAS109 , DATE686
ISCAS117 , DATE201
IEEE_Access2 , IEEE_Access180
IEEE_Access5 , IOT11
IEEE_Access5 , IOT46
IEEE_Access5 , IOT47
IEEE_Access5 , SENSORS36
IEEE_Access6 , IOT17
IEEE_Access6 , SENSORS14
IEEE_Access6 , SENSORS40
IEEE_Access6 , SENSORS53
IEEE_Access10 , IOT10
IEEE_Access11 , DATE132
IEEE_Access11 , IEEE_Access72
IEEE_Access29 , IEEE_Access85
IEEE_Access30 , IEEE_Access81
IEEE_Access32 , SENSORS64
IEEE_Access33 , IEEE_Access44
IEEE_Access34 , IEEE_Access135
IEEE_Access40 , ISLPED175
IEEE_Access49 , SENSORS44
IEEE_Access64 , SENSORS72
IEEE_Access65 , IEEE_Access174
IEEE_Access72 , IEEE_Access47
IEEE_Access86 , WPC39
IEEE_Access94 , IEEE_Access74
IEEE_Access95 , IEEE_Access34
IEEE_Access101 , IEEE_Access181
IEEE_Access138 , IEEE_Access27
IEEE_Access184 , IEEE_Access170
IEEE_Journal_Solid_State1 , ISLPED398
IEEE_Journal_Solid_State1 , ISLPED595
IEEE_Journal_Solid_State1 , ISLPED605
IEEE_Journal_Solid_State1 , ISLPED796
IEEE_Journal_Solid_State1 , ISLPED808
IEEE_Journal_Solid_State1 , ISLPED837
IEEE_Journal_Solid_State1 , ISLPED882
IEEE_Journal_Solid_State1 , ISLPED884
IEEE_Journal_Solid_State1 , ISLPED913
IEEE_Journal_Solid_State1 , ISLPED926
IEEE_Journal_Solid_State1 , ISLPED943
IEEE_Journal_Solid_State1 , ISLPED995
IEEE_Journal_Solid_State1 , ISLPED1012
IEEE_Journal_Solid_State1 , ISLPED1026
IEEE_Journal_Solid_State1 , ISLPED1046
IEEE_Journal_Solid_State1 , ISLPED1063
IEEE_Journal_Solid_State1 , ISLPED1082
IEEE_Journal_Solid_State1 , DAC105
IEEE_Journal_Solid_State1 , DAC160
IEEE_Journal_Solid_State1 , DAC256
IEEE_Journal_Solid_State1 , DATE152
IEEE_Journal_Solid_State1 , DATE673
IEEE_Journal_Solid_State1 , IEEE_Access99
IEEE_Journal_Solid_State1 , IEEE_Journal_Solid_State14
IEEE_Journal_Solid_State1 , IEEE_Journal_Solid_State145
IEEE_Journal_Solid_State1 , IEEE_Journal_Solid_State190
IEEE_Journal_Solid_State1 , IEEE_Journal_Solid_State273
IEEE_Journal_Solid_State1 , IEEE_Journal_Solid_State418
IEEE_Journal_Solid_State1 , IEEE_Journal_Solid_State425
IEEE_Journal_Solid_State1 , IEEE_TVLSI16
IEEE_Journal_Solid_State1 , IEEE_TVLSI24
IEEE_Journal_Solid_State1 , IEEE_TVLSI45
IEEE_Journal_Solid_State1 , IEEE_TCAS2
IEEE_Journal_Solid_State1 , IEEE_TCAS60
IEEE_Journal_Solid_State1 , ACM_TECS2
IEEE_Journal_Solid_State1 , ACM_TECS44
IEEE_Journal_Solid_State1 , ACM_TODAES5
IEEE_Journal_Solid_State1 , ACM_TODAES7
IEEE_Journal_Solid_State1 , ACM_TODAES14
IEEE_Journal_Solid_State1 , ACM_TODAES22
IEEE_Journal_Solid_State1 , ACM_TODAES26
IEEE_Journal_Solid_State1 , ACM_TODAES61
IEEE_Journal_Solid_State1 , IEEE_TCOMP34
IEEE_Journal_Solid_State1 , IEEE_TCOMP59
IEEE_Journal_Solid_State1 , HPCA8
IEEE_Journal_Solid_State1 , GLSVLSI103
IEEE_Journal_Solid_State1 , IEEE_TPDS1
IEEE_Journal_Solid_State1 , IEEE_TPDS2
IEEE_Journal_Solid_State1 , IEEE_TPDS3
IEEE_Journal_Solid_State1 , IEEE_TPDS4
IEEE_Journal_Solid_State1 , IEEE_TPDS5
IEEE_Journal_Solid_State1 , IEEE_TPDS6
IEEE_Journal_Solid_State1 , IEEE_TPDS7
IEEE_Journal_Solid_State1 , IEEE_TPDS8
IEEE_Journal_Solid_State1 , IEEE_TPDS9
IEEE_Journal_Solid_State1 , IEEE_TED2
IEEE_Journal_Solid_State1 , IEEE_TED3
IEEE_Journal_Solid_State1 , IEEE_TED4
IEEE_Journal_Solid_State1 , IEEE_TED5
IEEE_Journal_Solid_State1 , IEEE_TED6
IEEE_Journal_Solid_State1 , IEEE_TED7
IEEE_Journal_Solid_State1 , IEEE_TED8
IEEE_Journal_Solid_State1 , IEEE_TED9
IEEE_Journal_Solid_State1 , IEEE_TED10
IEEE_Journal_Solid_State1 , IEEE_TED11
IEEE_Journal_Solid_State1 , IEEE_TED12
IEEE_Journal_Solid_State1 , IEEE_TED13
IEEE_Journal_Solid_State1 , IEEE_TED14
IEEE_Journal_Solid_State1 , IEEE_TED15
IEEE_Journal_Solid_State1 , ISLPED892
IEEE_Journal_Solid_State1 , ISLPED1048
IEEE_Journal_Solid_State1 , ISLPED1120
IEEE_Journal_Solid_State1 , IEEE_Journal_Solid_State5
IEEE_Journal_Solid_State1 , IEEE_Journal_Solid_State98
IEEE_Journal_Solid_State1 , IEEE_Journal_Solid_State103
IEEE_Journal_Solid_State1 , IEEE_Journal_Solid_State156
IEEE_Journal_Solid_State1 , IEEE_Journal_Solid_State231
IEEE_Journal_Solid_State1 , IEEE_Journal_Solid_State297
IEEE_Journal_Solid_State1 , IEEE_Journal_Solid_State349
IEEE_Journal_Solid_State1 , IEEE_Journal_Solid_State384
IEEE_Journal_Solid_State1 , IEEE_Journal_Solid_State419
IEEE_Journal_Solid_State1 , IEEE_Journal_Solid_State487
IEEE_Journal_Solid_State1 , IEEE_TVLSI10
IEEE_Journal_Solid_State1 , IEEE_TVLSI14
IEEE_Journal_Solid_State1 , IEEE_TVLSI99
IEEE_Journal_Solid_State1 , IEEE_TVLSI107
IEEE_Journal_Solid_State1 , IEEE_TCADICS10
IEEE_Journal_Solid_State1 , IEEE_TCADICS13
IEEE_Journal_Solid_State1 , IEEE_TCADICS83
IEEE_Journal_Solid_State1 , IEEE_TCADICS107
IEEE_Journal_Solid_State1 , ACM_TODAES1
IEEE_Journal_Solid_State1 , GLSVLSI2
IEEE_Journal_Solid_State1 , IEEE_TED16
IEEE_Journal_Solid_State2 , ISLPED385
IEEE_Journal_Solid_State2 , DATE72
IEEE_Journal_Solid_State2 , ISCAS121
IEEE_Journal_Solid_State2 , IEEE_Access92
IEEE_Journal_Solid_State2 , IEEE_Journal_Solid_State19
IEEE_Journal_Solid_State2 , IEEE_Journal_Solid_State25
IEEE_Journal_Solid_State2 , IEEE_Journal_Solid_State88
IEEE_Journal_Solid_State2 , IEEE_Journal_Solid_State96
IEEE_Journal_Solid_State2 , IEEE_Journal_Solid_State141
IEEE_Journal_Solid_State2 , IEEE_Journal_Solid_State150
IEEE_Journal_Solid_State2 , IEEE_Journal_Solid_State163
IEEE_Journal_Solid_State2 , IEEE_Journal_Solid_State254
IEEE_Journal_Solid_State2 , IEEE_Journal_Solid_State303
IEEE_Journal_Solid_State2 , IEEE_Journal_Solid_State305
IEEE_Journal_Solid_State2 , IEEE_Journal_Solid_State463
IEEE_Journal_Solid_State2 , IEEE_Journal_Solid_State474
IEEE_Journal_Solid_State2 , IEEE_Journal_Solid_State479
IEEE_Journal_Solid_State2 , IEEE_Journal_Solid_State528
IEEE_Journal_Solid_State2 , IEEE_TCAS57
IEEE_Journal_Solid_State2 , IEEE_TCAS144
IEEE_Journal_Solid_State2 , IEEE_TCAS149
IEEE_Journal_Solid_State2 , JOLPE37
IEEE_Journal_Solid_State2 , SENSORS25
IEEE_Journal_Solid_State2 , SENSORS58
IEEE_Journal_Solid_State2 , IEEE_Journal_Solid_State8
IEEE_Journal_Solid_State2 , IEEE_Journal_Solid_State446
IEEE_Journal_Solid_State2 , IEEE_TCAS28
IEEE_Journal_Solid_State3 , ISLPED58
IEEE_Journal_Solid_State3 , ISLPED162
IEEE_Journal_Solid_State3 , ISLPED228
IEEE_Journal_Solid_State3 , ISLPED705
IEEE_Journal_Solid_State3 , DAC164
IEEE_Journal_Solid_State3 , DAC386
IEEE_Journal_Solid_State3 , DATE283
IEEE_Journal_Solid_State3 , IEEE_TCAS117
IEEE_Journal_Solid_State3 , GLSVLSI130
IEEE_Journal_Solid_State4 , DATE284
IEEE_Journal_Solid_State4 , DATE497
IEEE_Journal_Solid_State4 , IEEE_Journal_Solid_State9
IEEE_Journal_Solid_State4 , IEEE_Journal_Solid_State59
IEEE_Journal_Solid_State4 , IEEE_Journal_Solid_State529
IEEE_Journal_Solid_State4 , IEEE_TCAS17
IEEE_Journal_Solid_State5 , ISLPED234
IEEE_Journal_Solid_State5 , ISLPED460
IEEE_Journal_Solid_State5 , ISLPED487
IEEE_Journal_Solid_State5 , ISLPED531
IEEE_Journal_Solid_State5 , ISLPED843
IEEE_Journal_Solid_State5 , ISLPED871
IEEE_Journal_Solid_State5 , ISLPED904
IEEE_Journal_Solid_State5 , ISLPED939
IEEE_Journal_Solid_State5 , ISLPED943
IEEE_Journal_Solid_State5 , ISLPED991
IEEE_Journal_Solid_State5 , ISLPED998
IEEE_Journal_Solid_State5 , ISLPED1026
IEEE_Journal_Solid_State5 , ISLPED1042
IEEE_Journal_Solid_State5 , ISLPED1072
IEEE_Journal_Solid_State5 , ISLPED1117
IEEE_Journal_Solid_State5 , ISLPED1136
IEEE_Journal_Solid_State5 , DAC1
IEEE_Journal_Solid_State5 , DAC147
IEEE_Journal_Solid_State5 , DAC236
IEEE_Journal_Solid_State5 , DAC392
IEEE_Journal_Solid_State5 , DATE249
IEEE_Journal_Solid_State5 , IEEE_Journal_Solid_State46
IEEE_Journal_Solid_State5 , IEEE_Journal_Solid_State103
IEEE_Journal_Solid_State5 , IEEE_Journal_Solid_State121
